-1.5,0.6000000000000001,59.02033209077693
-1.4,0.66,59.21075692350839
-1.3,0.72,59.139257640382105
-1.2,0.78,59.09270253087648
-1.1,0.84,58.99476355103326
-1.0,0.9,59.145672089879675
-0.9,0.96,59.25640299627673
-0.8,1.02,59.00035823403749
-0.7,1.08,58.80915878548868
-0.6,1.1400000000000001,58.878050155718164
-0.5,1.2,58.52662164772221
-0.4,1.26,58.49765778770334
-0.33,1.302,57.99838490215383
-0.3,1.32,57.58077375363673
-0.22,1.3679999999999999,55.398451293609995
-0.2,1.38,54.37658043980819
-0.11,1.434,40.04430268109827
-0.1,1.44,36.87058197498538
-0.09,1.446,33.44806936927699
-0.08,1.452,29.762242181857488
-0.07,1.458,25.941456693179205
-0.06,1.464,22.006875644542486
-0.05,1.47,18.012445895540683
-0.04,1.476,13.899078650772548
-0.03,1.482,9.703429675100752
-0.02,1.488,5.314726409261061
-0.01,1.494,2.2337690250431392
0.01,1.506,2.369040790176555
0.02,1.512,5.864944959474418
0.03,1.518,10.157968083793046
0.04,1.524,14.336903465266792
0.05,1.53,18.38493908932695
0.06,1.536,22.86903428770675
0.07,1.542,26.506868782866874
0.08,1.548,30.586547889655034
0.09,1.554,33.849964758989145
0.1,1.56,37.29063822248987
0.11,1.566,40.5213419636484
0.2,1.62,55.52801518944329
0.22,1.6320000000000001,56.7526227073193
0.3,1.68,58.99739824483505
0.33,1.698,59.30614436549393
0.4,1.74,59.936930741351375
0.5,1.8,60.253350278260086
0.6,1.8599999999999999,60.2679386740817
0.7,1.92,60.40713532171477
0.8,1.98,60.32806220215268
0.9,2.04,60.481509822846526
1.0,2.1,60.398059741361244
1.1,2.16,60.50383753430352
1.2,2.2199999999999998,60.36991524859584
1.3,2.2800000000000002,60.39031286149162
1.4,2.34,60.44585313351587
1.5,2.4,60.36098114743512
